Date,Open,High,Low,Close,Adj Close,Volume
2020-04-22,162500,166000,161000,166000,163761.7969,169970
2020-04-23,166000,167000,162500,163000,160802.25,251703
2020-04-24,160500,161500,156000,157000,154883.1406,311307
2020-04-27,158000,160500,157000,159000,156856.1719,142818
2020-04-28,159500,162500,158000,158500,156362.9219,162185
2020-04-29,160000,163000,158500,162500,160308.9844,171119
2020-05-04,158500,159000,156500,156500,154389.8906,189459
2020-05-06,158500,165000,157500,162000,159815.7344,212012
2020-05-07,163500,179000,163000,177000,174613.4844,742642
2020-05-08,178000,182500,175500,176000,173626.9688,402480
2020-05-11,179500,184500,178500,180500,178066.2813,415735
2020-05-12,181000,183000,172500,176000,173626.9688,356029
2020-05-13,172000,181000,171000,179000,176586.5156,307821
2020-05-14,177000,179500,173500,174500,172147.1875,242885
2020-05-15,176500,176500,172000,175000,172640.4531,161437
2020-05-18,175500,176000,170500,172000,169680.8906,176116
2020-05-19,176000,177000,172500,175000,172640.4531,192010
2020-05-20,174500,179500,174000,178000,175600,163022
2020-05-21,180000,180000,175500,177500,175106.7344,191223
2020-05-22,177500,177500,172000,174500,172147.1875,156223
2020-05-25,176000,186500,172000,186000,183492.125,396017
2020-05-26,186500,189000,184500,188000,185465.1719,287313
2020-05-27,186500,189000,184000,185500,182998.875,174337
2020-05-28,185000,195000,184500,187000,184478.6406,399335
2020-05-29,188000,191500,184500,190500,187931.4531,279814
2020-06-01,189500,191500,188500,191000,188424.7188,143373
2020-06-02,190000,193000,189000,190000,187438.2031,152425
2020-06-03,192000,192500,186000,186500,183985.3906,253698
2020-06-04,186500,188000,181000,182500,180039.3281,368896
2020-06-05,182500,184500,179000,184500,182012.3594,246845
2020-06-08,186000,186500,181500,183000,180532.5781,166187
2020-06-09,186000,186000,181500,183500,181025.8438,166217
2020-06-10,183000,188000,182500,187500,184971.9063,233945
2020-06-11,186000,187000,182000,185500,182998.875,236230
2020-06-12,178500,180000,177000,179000,176586.5156,214351
2020-06-15,177500,182000,169500,169500,167214.6094,258685
2020-06-16,174000,180500,173000,180500,178066.2813,194884
2020-06-17,179000,181500,177000,180500,178066.2813,150778
2020-06-18,178000,179500,176500,177000,174613.4844,115936
2020-06-19,179500,179500,175000,177000,174613.4844,129746
2020-06-22,175000,179500,174500,176000,173626.9688,113788
2020-06-23,177500,181500,175000,177500,175106.7344,180341
2020-06-24,178500,180500,177000,179000,176586.5156,122032
2020-06-25,175000,177500,174000,174000,171653.9219,138774
2020-06-26,176000,176000,172000,174000,171653.9219,110691
