Date,Close,Contrast;,Fluctuation,Poetry,High,Low,Volume,Transaction price,Market capitalization,Stocks
2021-08-09,35150,1050,3.08,34100,37500,33700,754687,26893339900,1.78594E+11,5080915
2021-08-06,34100,-100,-0.29,34000,34600,33000,83496,2810679050,1.73259E+11,5080915
2021-08-05,34200,550,1.63,33650,35050,33050,195583,6701521750,1.73767E+11,5080915
2021-08-04,33650,1700,5.32,31850,33750,31850,138508,4597352900,1.70973E+11,5080915
2021-08-03,31950,150,0.47,31800,32450,31400,43564,1388878500,1.62335E+11,5080915
2021-08-02,31800,-700,-2.15,32500,32650,31500,52405,1669363950,1.61573E+11,5080915
2021-07-30,32500,-500,-1.52,33250,33250,32100,55837,1818653350,1.6513E+11,5080915
2021-07-29,33000,-100,-0.3,33200,33500,32500,45939,1507578100,1.6767E+11,5080915
2021-07-28,33100,300,0.91,32900,34000,32250,91125,3012662750,1.68178E+11,5080915
2021-07-27,32800,-1400,-4.09,34050,34200,32400,118706,3926928950,1.66654E+11,5080915
2021-07-26,34200,200,0.59,35100,35150,34050,195890,6756621750,1.73767E+11,5080915
2021-07-23,34000,700,2.1,33300,36200,33000,579939,20082054600,1.72751E+11,5080915
2021-07-22,33300,650,1.99,32450,33350,32400,82726,2727384850,1.69194E+11,5080915
2021-07-21,32650,-600,-1.8,33350,33600,32200,72660,2377765800,1.65892E+11,5080915
2021-07-20,33250,1700,5.39,31000,33250,30800,176175,5743927450,1.6894E+11,5080915
2021-07-19,31550,-150,-0.47,31700,31700,30900,21035,658531500,1.60303E+11,5080915
2021-07-16,31700,-300,-0.94,31850,32000,31400,21739,688839000,1.61065E+11,5080915
2021-07-15,32000,350,1.11,31600,32350,31300,41776,1324471650,1.62589E+11,5080915
2021-07-14,31650,-500,-1.56,32100,32100,31450,30446,964942400,1.60811E+11,5080915
2021-07-13,32150,1000,3.21,31350,32150,31150,73408,2333843200,1.63351E+11,5080915
2021-07-12,31150,850,2.81,30550,31350,30300,50752,1574144250,1.58271E+11,5080915
2021-07-09,30300,-400,-1.3,30450,30500,29900,24410,734567350,1.53952E+11,5080915
2021-07-08,30700,-200,-0.65,31000,31200,30350,25430,780176450,1.55984E+11,5080915
2021-07-07,30900,150,0.49,30700,31250,30700,42012,1304183550,1.57E+11,5080915
2021-07-06,30750,250,0.82,30650,30800,30250,49251,1506599700,1.56238E+11,5080915
2021-07-05,30500,50,0.16,30500,30550,30350,9202,280091850,1.54968E+11,5080915
2021-07-02,30450,0,0,30250,30600,30200,17316,526054150,1.54714E+11,5080915
2021-07-01,30450,450,1.5,30200,30500,30000,23864,721602700,1.54714E+11,5080915
2021-06-30,30000,-100,-0.33,30150,30400,30000,11504,346984900,1.52427E+11,5080915
2021-06-29,30100,200,0.67,29900,30600,29900,36000,1087280500,1.52936E+11,5080915
2021-06-28,29900,50,0.17,29900,30150,29650,17076,510581250,1.51919E+11,5080915
2021-06-25,29850,-200,-0.67,30100,30200,29850,30708,920856250,1.51665E+11,5080915
2021-06-24,30050,-300,-0.99,30400,30400,30050,24979,753686800,1.52681E+11,5080915
2021-06-23,30350,-50,-0.16,30450,30550,30100,21029,638084100,1.54206E+11,5080915
2021-06-22,30400,50,0.16,30350,30600,30250,24462,744956150,1.5446E+11,5080915
2021-06-21,30350,200,0.66,30250,30450,30000,16297,493175500,1.54206E+11,5080915
2021-06-18,30150,-100,-0.33,30250,30300,30000,26803,806784450,1.5319E+11,5080915
2021-06-17,30250,100,0.33,30200,30300,30100,16912,510506200,1.53698E+11,5080915
2021-06-16,30150,-250,-0.82,30150,30450,30150,20795,628573350,1.5319E+11,5080915
2021-06-15,30400,-100,-0.33,30600,30600,30200,13628,412899250,1.5446E+11,5080915
2021-06-14,30500,100,0.33,30450,30600,30100,22458,680538800,1.54968E+11,5080915
2021-06-11,30400,50,0.16,30500,30550,30200,15812,479304000,1.5446E+11,5080915
2021-06-10,30350,-200,-0.65,30700,30800,30300,27376,835005750,1.54206E+11,5080915
2021-06-09,30550,0,0,30500,30950,30450,12423,381349300,1.55222E+11,5080915
2021-06-08,30550,-100,-0.33,30750,30750,30500,16368,500884450,1.55222E+11,5080915
2021-06-07,30650,-150,-0.49,30850,30900,30650,13540,416220700,1.5573E+11,5080915
2021-06-04,30800,-100,-0.32,30800,30950,30700,11637,358647000,1.56492E+11,5080915
2021-06-03,30900,-300,-0.96,31100,31150,30750,15410,476254700,1.57E+11,5080915
2021-06-02,31200,100,0.32,31100,31400,30800,15800,489777500,1.58525E+11,5080915
2021-06-01,31100,750,2.47,30450,31500,30400,36428,1132112200,1.58016E+11,5080915
2021-05-31,30350,-150,-0.49,30550,30650,30350,17339,528607300,1.54206E+11,5080915
2021-05-28,30500,50,0.16,30550,30750,30350,14205,433808900,1.54968E+11,5080915
2021-05-27,30450,-200,-0.65,30650,30650,30200,13988,424707400,1.54714E+11,5080915
2021-05-26,30650,150,0.49,30650,30750,30350,10891,332729400,1.5573E+11,5080915
2021-05-25,30500,0,0,30500,30700,30400,10743,328786450,1.54968E+11,5080915
2021-05-24,30500,150,0.49,30450,30800,30200,15044,458541400,1.54968E+11,5080915
2021-05-21,30350,0,0,30450,30900,30200,16571,504966050,1.54206E+11,5080915
2021-05-20,30350,200,0.66,30350,30850,30150,17343,528169700,1.54206E+11,5080915
2021-05-18,30150,250,0.84,29900,30300,29750,14976,449190450,1.5319E+11,5080915
2021-05-17,29900,-400,-1.32,30300,30550,29700,32315,971230700,1.51919E+11,5080915
2021-05-14,30300,0,0,30400,30700,30200,13300,404749000,1.53952E+11,5080915
2021-05-13,30300,-550,-1.78,30300,30800,30100,26768,814469350,1.53952E+11,5080915
2021-05-12,30850,-250,-0.8,31250,31350,30700,24327,751495700,1.56746E+11,5080915
2021-05-11,31100,50,0.16,31050,31300,30850,25940,804913200,1.58016E+11,5080915
2021-05-10,31050,-50,-0.16,31100,31300,31000,25906,806169050,1.57762E+11,5080915
2021-05-07,31100,50,0.16,31000,31400,31000,15368,478742250,1.58016E+11,5080915
2021-05-06,31050,-50,-0.16,31100,31300,30750,17066,530420050,1.57762E+11,5080915
2021-05-04,31100,100,0.32,30800,31350,30600,19351,596901000,1.58016E+11,5080915
2021-05-03,31000,-400,-1.27,31500,31700,31000,22167,694250150,1.57508E+11,5080915
2021-04-30,31400,-300,-0.95,32300,32300,31200,34759,1097081100,1.59541E+11,5080915
2021-04-29,31700,400,1.28,31300,33300,31300,172180,5559434600,1.61065E+11,5080915
2021-04-28,31300,50,0.16,31500,31800,31050,30613,958900350,1.59033E+11,5080915
2021-04-27,31250,-250,-0.79,31700,31800,31100,22308,698029650,1.58779E+11,5080915
2021-04-26,31500,50,0.16,31450,31650,31250,19533,612455750,1.60049E+11,5080915
2021-04-23,31450,50,0.16,31650,31650,31150,22033,690352550,1.59795E+11,5080915
2021-04-22,31400,150,0.48,31250,31750,31200,34571,1087943350,1.59541E+11,5080915
2021-04-21,31250,-700,-2.19,32050,32050,31200,33793,1064121850,1.58779E+11,5080915
2021-04-20,31950,50,0.16,31950,32200,31550,23419,745515200,1.62335E+11,5080915
2021-04-19,31900,-250,-0.78,32250,32350,31850,28554,914711950,1.62081E+11,5080915
2021-04-16,32150,-400,-1.23,32850,32850,32150,19622,635233550,1.63351E+11,5080915
2021-04-15,32550,150,0.46,32150,32650,31900,32364,1042829100,1.65384E+11,5080915
2021-04-14,32400,-150,-0.46,32900,32900,32150,28271,916819250,1.64622E+11,5080915
2021-04-13,32550,800,2.52,31600,32700,31600,44948,1450924850,1.65384E+11,5080915
2021-04-12,31750,-100,-0.31,31900,32000,31500,20004,635483500,1.61319E+11,5080915
2021-04-09,31850,600,1.92,31300,31900,31300,24560,777978000,1.61827E+11,5080915
2021-04-08,31250,50,0.16,31200,31500,31050,22778,710849700,1.58779E+11,5080915
2021-04-07,31200,100,0.32,31100,31850,30750,53085,1655696500,1.58525E+11,5080915
2021-04-06,31100,-50,-0.16,31150,31350,30650,23174,715645950,1.58016E+11,5080915
2021-04-05,31150,-600,-1.89,31800,31800,30850,56342,1749865600,1.58271E+11,5080915
2021-04-02,31750,450,1.44,31300,31850,31300,21850,690069900,1.61319E+11,5080915
2021-04-01,31300,-100,-0.32,31500,31550,31000,16730,521995100,1.59033E+11,5080915
2021-03-31,31400,-350,-1.1,31950,31950,31000,17986,564998450,1.59541E+11,5080915
2021-03-30,31750,400,1.28,31350,32300,31300,18070,574748750,1.61319E+11,5080915
2021-03-29,31350,-450,-1.42,31800,32200,31150,20622,649924450,1.59287E+11,5080915
2021-03-26,31800,-600,-1.85,32100,32450,31800,16839,538038050,1.61573E+11,5080915
2021-03-25,32400,-100,-0.31,32500,32800,31750,13718,442186800,1.64622E+11,5080915
2021-03-24,32500,-200,-0.61,32700,33150,32200,14572,475113400,1.6513E+11,5080915
2021-03-23,32700,350,1.08,32250,33650,32200,44289,1467250150,1.66146E+11,5080915
2021-03-22,32350,-600,-1.82,32950,32950,32200,19358,627696450,1.64368E+11,5080915
2021-03-19,32950,650,2.01,31400,33000,31300,25576,829981550,1.67416E+11,5080915
2021-03-18,32300,1050,3.36,32300,32600,31850,43497,1403086950,1.64114E+11,5080915
2021-03-17,31250,200,0.64,31100,31250,30800,15614,484125850,1.58779E+11,5080915
2021-03-16,31050,-100,-0.32,31250,31250,30600,23953,739166900,1.57762E+11,5080915
2021-03-15,31150,300,0.97,30950,31400,30800,19821,616947600,1.58271E+11,5080915
2021-03-12,30850,100,0.33,30600,31200,30600,23229,716355750,1.56746E+11,5080915
2021-03-11,30750,400,1.32,30350,30950,30350,11009,338010350,1.56238E+11,5080915
2021-03-10,30350,-500,-1.62,31500,31500,30050,21314,653379050,1.54206E+11,5080915
2021-03-09,30850,-800,-2.53,31500,31600,30500,30575,942529400,1.56746E+11,5080915
2021-03-08,31650,-1000,-3.06,32500,32900,31300,37372,1192287100,1.60811E+11,5080915
2021-03-05,32650,400,1.24,32250,32800,32050,22462,729112650,1.65892E+11,5080915
2021-03-04,32250,450,1.42,31800,32750,31350,27193,876234250,1.6386E+11,5080915
2021-03-03,31800,600,1.92,30850,31950,30800,20950,659113950,1.61573E+11,5080915
2021-03-02,31200,-150,-0.48,32100,32100,30950,37324,1173831450,1.58525E+11,5080915
2021-02-26,31350,-1200,-3.69,31300,32150,31300,33840,1068364100,1.59287E+11,5080915
2021-02-25,32550,350,1.09,32200,32900,32200,18193,590523500,1.65384E+11,5080915
2021-02-24,32200,-1100,-3.3,33650,33650,32050,35108,1151510450,1.63605E+11,5080915
2021-02-23,33300,-50,-0.15,33250,33850,32750,37561,1249496900,1.69194E+11,5080915
2021-02-22,33350,-100,-0.3,33350,33900,33200,22975,766565700,1.69449E+11,5080915
2021-02-19,33450,-400,-1.18,33850,33950,33250,26485,885470850,1.69957E+11,5080915
2021-02-18,33850,-350,-1.02,34200,34300,33650,33980,1152228850,1.71989E+11,5080915
