Date,Close,Contrast;,Fluctuation,Poetry,High,Low,Volume,Transaction price,Market capitalization,Stocks
2021-07-09,28550,200,0.71,28500,29000,26900,28436,795326050,2.32594E+11,8146916
2021-07-08,28350,1150,4.23,27200,29650,26600,54971,1547139550,2.30965E+11,8146916
2021-07-07,27200,-750,-2.68,27700,28300,27100,11626,319846800,2.21596E+11,8146916
2021-07-06,27950,300,1.08,27650,28450,26650,18700,519316250,2.27706E+11,8146916
2021-07-05,27650,450,1.65,27200,28850,26600,34525,958087200,2.25262E+11,8146916
2021-07-02,27200,-50,-0.18,27350,27550,26300,8074,218310200,2.21596E+11,8146916
2021-07-01,27250,1050,4.01,26400,27400,25750,33169,892204200,2.22003E+11,8146916
2021-06-30,26200,50,0.19,26600,26600,25300,9342,242283500,2.13449E+11,8146916
2021-06-29,26150,300,1.16,26200,26450,25400,13216,342287850,2.13042E+11,8146916
2021-06-28,25850,0,0,25850,26250,25200,10991,280973700,2.10598E+11,8146916
2021-06-25,25850,100,0.39,25750,26500,25300,2163,55517650,2.10598E+11,8146916
2021-06-24,25750,0,0,25500,26100,25100,10729,272654000,2.09783E+11,8146916
2021-06-23,25750,-50,-0.19,25950,26400,25150,17583,449966600,2.09783E+11,8146916
2021-06-22,25800,-1000,-3.73,26500,27050,25600,19439,509836750,2.1019E+11,8146916
2021-06-21,26800,-400,-1.47,26850,27500,26500,5053,136067350,2.18337E+11,8146916
2021-06-18,27200,450,1.68,26850,27550,26600,8943,242595450,2.21596E+11,8146916
2021-06-17,26750,-450,-1.65,27250,27250,25850,9921,262232100,2.1793E+11,8146916
2021-06-16,27200,150,0.55,27600,27850,26750,14882,407710050,2.21596E+11,8146916
2021-06-15,27050,1450,5.66,26000,27300,25100,47166,1249742900,2.20374E+11,8146916
2021-06-14,25600,350,1.39,25350,25650,24950,15552,393061350,2.08561E+11,8146916
2021-06-11,25250,650,2.64,25000,25350,23500,20231,494776900,2.0571E+11,8146916
2021-06-10,24600,-950,-3.72,25500,25500,23550,15025,369038650,2.00414E+11,8146916
2021-06-09,25550,-650,-2.48,26200,26200,24950,24434,621926050,2.08154E+11,8146916
2021-06-08,26200,-750,-2.78,26900,26950,26000,19709,516960600,2.13449E+11,8146916
2021-06-07,26950,-850,-3.06,27050,27850,26600,18915,514962700,2.19559E+11,8146916
2021-06-04,27800,150,0.54,27900,27950,27000,13596,373421750,2.26484E+11,8146916
2021-06-03,27650,-50,-0.18,27700,27950,27000,9249,254428050,2.25262E+11,8146916
2021-06-02,27700,-250,-0.89,28650,28650,26700,13088,356445750,2.2567E+11,8146916
2021-06-01,27950,1350,5.08,26350,28200,26300,27985,770095700,2.27706E+11,8146916
2021-05-31,26600,550,2.11,26400,26600,25550,23742,619109000,2.16708E+11,8146916
2021-05-28,26050,-350,-1.33,26400,26700,25300,24288,625390000,2.12227E+11,8146916
2021-05-27,26400,0,0,26400,27350,25350,14170,374636900,2.15079E+11,8146916
2021-05-26,26400,-350,-1.31,27150,27150,26100,5067,134179400,2.15079E+11,8146916
2021-05-25,26750,700,2.69,25800,26900,25650,24393,640043200,2.1793E+11,8146916
2021-05-24,26050,-50,-0.19,26950,26950,25550,18547,479417750,2.12227E+11,8146916
2021-05-21,26100,-500,-1.88,27200,27200,24900,15870,408938850,2.12635E+11,8146916
2021-05-20,26600,900,3.5,25000,26900,25000,11445,302332100,2.16708E+11,8146916
2021-05-18,25700,250,0.98,25950,26500,24100,18730,478713000,2.09376E+11,8146916
2021-05-17,25450,-2400,-8.62,27850,27850,23450,41705,1055719050,2.07339E+11,8146916
2021-05-14,27850,-600,-2.11,28950,28950,27150,6389,177838450,2.26892E+11,8146916
2021-05-13,28450,450,1.61,27950,28600,27400,7974,223817450,2.3178E+11,8146916
2021-05-12,28000,-350,-1.23,28000,28350,26950,14532,400607400,2.28114E+11,8146916
2021-05-11,28350,-150,-0.53,28350,28500,26750,20401,565519900,2.30965E+11,8146916
2021-05-10,28500,200,0.71,29800,29800,28150,10928,312577250,2.32187E+11,8146916
2021-05-07,28300,-150,-0.53,28450,28500,27600,8763,246288600,2.30558E+11,8146916
2021-05-06,28450,-750,-2.57,29150,29150,27400,12027,338296400,2.3178E+11,8146916
2021-05-04,29200,950,3.36,28800,29350,27050,19173,544207900,2.3789E+11,8146916
2021-05-03,28250,-1050,-3.58,29100,29100,27500,19093,537083200,2.3015E+11,8146916
2021-04-30,29300,-700,-2.33,30100,30100,27950,19214,550997450,2.38705E+11,8146916
2021-04-29,30000,50,0.17,30000,30350,29100,17350,518397250,2.44407E+11,8146916
2021-04-28,29950,-1000,-3.23,30950,31300,29100,13593,405041150,2.44E+11,8146916
2021-04-27,30950,-50,-0.16,30100,31350,29400,25391,765220400,2.52147E+11,8146916
2021-04-26,31000,-2000,-6.06,32700,32700,30000,39224,1210885600,2.52554E+11,8146916
2021-04-23,33000,0,0,33300,33350,32150,28181,921832500,2.68848E+11,8146916
2021-04-22,33000,1900,6.11,32000,33400,31050,33467,1092306500,2.68848E+11,8146916
2021-04-21,31100,-400,-1.27,31800,31800,30650,12136,376360600,2.53369E+11,8146916
2021-04-20,31500,-200,-0.63,31650,31650,30000,18739,576232450,2.56628E+11,8146916
2021-04-19,31700,-1300,-3.94,32450,32450,31100,35260,1112803900,2.58257E+11,8146916
2021-04-16,33000,3300,11.11,30000,33200,28600,93060,2990096150,2.68848E+11,8146916
2021-04-15,29700,1700,6.07,29650,31000,28200,41719,1230773850,2.39729E+11,8071688
2021-04-14,28000,-50,-0.18,28050,28400,27500,15831,443276700,2.26007E+11,8071688
2021-04-13,28050,1150,4.28,27100,28300,26550,21760,600144250,2.26411E+11,8071688
2021-04-12,26900,-550,-2,28400,28400,26100,32239,866106550,2.17128E+11,8071688
2021-04-09,27450,450,1.67,27150,27550,26500,14782,399585200,2.21568E+11,8071688
2021-04-08,27000,650,2.47,26100,27100,26050,11118,297057700,2.17936E+11,8071688
2021-04-07,26350,-750,-2.77,27050,27050,25450,27057,701712450,2.12689E+11,8071688
2021-04-06,27100,950,3.63,25400,27800,25000,39138,1036205150,2.18743E+11,8071688
2021-04-05,26150,-1750,-6.27,28300,28300,25500,35030,925784350,2.11075E+11,8071688
2021-04-02,27900,-600,-2.11,27800,28000,26600,24550,671755500,2.252E+11,8071688
2021-04-01,28500,-400,-1.38,28900,29400,27450,27913,782776500,2.30043E+11,8071688
2021-03-31,28900,-950,-3.18,29850,30600,28250,59996,1747564050,2.33272E+11,8071688
2021-03-30,29850,50,0.17,30200,30450,28750,45116,1337230350,2.4094E+11,8071688
2021-03-29,29800,-200,-0.67,30750,30750,26200,136419,3855167900,2.40536E+11,8071688
2021-03-26,30000,5900,24.48,24800,30800,24350,342427,9749384150,2.42151E+11,8071688
2021-03-25,24100,1600,7.11,22200,24550,22000,87818,2064512150,1.94528E+11,8071688
2021-03-24,22500,550,2.51,20950,22650,20800,93817,2060278000,1.81613E+11,8071688
2021-03-23,21950,850,4.03,20900,22000,20500,64266,1369310950,1.77174E+11,8071688
2021-03-22,21100,100,0.48,20900,21400,20300,84571,1756339550,1.70313E+11,8071688
2021-03-19,21000,1450,7.42,19600,21700,19450,154668,3230620150,1.69505E+11,8071688
2021-03-18,19550,1000,5.39,18550,20500,18550,112318,2220237800,1.57802E+11,8071688
2021-03-17,18550,400,2.2,18250,18550,17300,29301,527998850,1.4973E+11,8071688
2021-03-16,18150,50,0.28,18100,18300,17500,46619,834067400,1.46501E+11,8071688
2021-03-15,18100,350,1.97,17750,18400,17300,24025,428399000,1.46098E+11,8071688
2021-03-12,17750,650,3.8,17650,17800,17000,26136,453186350,1.43272E+11,8071688
2021-03-11,17100,250,1.48,16900,17150,16550,37889,635618650,1.38026E+11,8071688
2021-03-10,16850,-800,-4.53,17550,17950,16850,23488,402021800,1.36008E+11,8071688
2021-03-09,17650,50,0.28,17600,17900,16550,45211,774103550,1.42465E+11,8071688
2021-03-08,17600,-1600,-8.33,19000,19200,17150,114478,2064479850,1.42062E+11,8071688
2021-03-05,19200,2100,12.28,17100,19500,16900,136134,2515223750,1.54976E+11,8071688
2021-03-04,17100,-350,-2.01,17450,17550,16700,58028,993569800,1.38026E+11,8071688
2021-03-03,17450,1400,8.72,16200,18000,16200,143311,2465075650,1.40851E+11,8071688
2021-03-02,16050,-1200,-6.96,17250,17450,15600,97010,1606532700,1.29551E+11,8071688
2021-02-26,17250,1250,7.81,15550,20700,15100,586881,10291829000,1.39237E+11,8071688
2021-02-25,16000,-4050,-20.2,19950,20650,15450,895247,15057747450,1.29147E+11,8071688
2021-02-24,20050,-1250,-5.87,21300,21750,19900,68472,1414883800,1.61837E+11,8071688
