Date,Close,Contrast;,Fluctuation,Poetry,High,Low,Volume,Transaction price,Market capitalization,Stocks
2021-05-25,9620,-340,-3.41,10000,10150,9540,1446282,14187324650,1.87944E+11,19536792
2021-05-24,9960,-30,-0.3,10050,10250,9880,910791,9144104190,1.94586E+11,19536792
2021-05-21,9990,-210,-2.06,10300,10350,9860,1170541,11761249860,1.95173E+11,19536792
2021-05-20,10200,250,2.51,10100,10500,9990,2304137,23591549670,1.99275E+11,19536792
2021-05-18,9950,-400,-3.86,10150,10250,9880,1731760,17334418500,1.94391E+11,19536792
2021-05-17,10350,1000,10.7,9700,11050,9520,9901432,1.02413E+11,2.02206E+11,19536792
2021-05-14,9350,-700,-6.97,10250,10400,9260,2425738,23658359270,1.82669E+11,19536792
2021-05-13,10050,140,1.41,9520,11450,9440,11094110,1.18357E+11,1.96345E+11,19536792
2021-05-12,9910,-140,-1.39,10500,10750,9890,4221134,43030351240,1.9361E+11,19536792
2021-05-11,10050,330,3.4,9600,10350,9570,3982133,39944418160,1.96345E+11,19536792
2021-05-10,9720,360,3.85,9630,10450,9410,10383347,1.02959E+11,1.89898E+11,19536792
2021-05-07,9360,940,11.16,8440,9800,8440,9079608,82945261560,1.82864E+11,19536792
2021-05-06,8420,550,6.99,7870,8590,7870,1824492,15207794800,1.645E+11,19536792
2021-05-04,7870,-220,-2.72,7980,8060,7690,859969,6717809740,1.53755E+11,19536792
2021-05-03,8090,-350,-4.15,8300,8740,8080,1827254,15320357640,1.58053E+11,19536792
2021-04-30,8440,-480,-5.38,8670,8810,8350,2475953,21211867260,1.64891E+11,19536792
2021-04-29,8920,890,11.08,7960,8920,7720,6982330,59244762050,1.74268E+11,19536792
2021-04-28,8030,-260,-3.14,9340,9500,7950,9972082,88221504580,1.5688E+11,19536792
2021-04-27,8290,580,7.52,7840,8290,7590,4017921,32643534080,1.6196E+11,19536792
2021-04-26,7710,90,1.18,7700,8070,7680,3381025,26647524480,1.50629E+11,19536792
2021-04-23,7620,-150,-1.93,7780,7840,7470,1305992,10022864980,1.4887E+11,19536792
2021-04-22,7770,-70,-0.89,7740,8150,7600,4358390,34003573640,1.51801E+11,19536792
2021-04-21,7840,470,6.38,7370,8050,7280,9027068,70215477420,1.53168E+11,19536792
2021-04-20,7370,120,1.66,7700,7980,7340,8869154,67948733690,1.43986E+11,19536792
2021-04-19,7250,160,2.26,7090,7520,7020,3155444,23041947920,1.41642E+11,19536792
2021-04-16,7090,370,5.51,6750,7180,6750,1546307,10866494380,1.38516E+11,19536792
